index,URL,Title,Author,Year,Topic,Subtopic_1,Subtopic_2,Goal_Primary,Goal_Secondary,User,COVID19,Media Mix,Interactive,Method,Tool,Picture,Link,Picture_name,Context: Online,Context: Offline,Sonification_Art_Blog,Link_to_Sonification_Art_Blog,Link to news,Preview of the sonification on website,Thumbnail Image,Link to explanation,Description
,Makingmusicfromdiabetesdata,Making music from diabetes data,,2017,Health,,,Public Engagement,,Public,,No,No,Parameter Mapping,,,https://music.apple.com/us/album/iddm-ep/1393080657,Making music from diabetes data,Player,,,,https://www.youtube.com/watch?v=Kt1Yhb8fZj8&sns=tw,Sonifcation is a video,No,,
,SonicWordCloud,Sonic Word Cloud,Daniel Ruten,2017,Humanities,,,Data Analysis,,,,,,Audification,,,https://danielruten.wordpress.com/2017/04/15/sonic-word-clouds-an-experiment-with-data-sonification-part-i-introduction/,SonicWordClouds,,,1,,,,,,
,DataWaltz,Data Waltz,Hatnote,2017,Internet,,,Public Engagement,,Public,,Yes/Installation,Yes,Model Sonification,,,https://vimeo.com/208084520,Data Waltz,,Public Venue (interactive installation),,,https://architizer.com/projects/data-waltz/,Sonifcation is a video,https://architizer.com/projects/data-waltz/,,
,AnauditorydisplaytoolforDNAsequenceanalysis,An auditory display tool for DNA sequence analysis,Mark Temple,2017,Life Sciences,Biology,,Data Analysis,,,,,,Parameter Mapping,1,,http://dnasonification.org/,An auditory display tool for DNA sequence analysis,,,,,,,,,
,MolecularSoundscapes,Molecular Soundscapes,Shelly Knotts,2017,Life Sciences,Chemistry,,Art,,,,,,Parameter Mapping,,,https://vimeo.com/219101695,MolecularSoundscapes,,,1,,,,,,
,VictimsofUSgunshooting,Victims of US gun shooting,Sophie Chou,2017,Mass Shooting,,,Data Journalism,,Public,,No,No,Parameter Mapping,,,https://soundcloud.com/theworld/the-sound-of-gun-violence-in-america,Victims of US gun shooting,Radio Streaming,,,,,Sonification is on Soundcloud,No,,
,LasVegasShooting,Las Vegas Shooting,The New York Times,2017,Mass Shooting,,,Data Journalism,,,,,,Parameter Mapping,,,https://www.nytimes.com/interactive/2017/10/02/us/vegas-guns.html,Las Vegas Shooting,,,,,,,,,
,SenseMath,SenseMath,Wendy Voorn,2017,Math,,,Accessibility,,,,,,Model Sonification,,,https://www.visio.org/professional/expertise/onderzoeken/digitale-ontwikkelingen-innovaties/sensemath/,SenseMath,,,,,,,,,
,Soundingouttheborderwall,Sounding out the border wall,Jim Briggs and Michael Corey - Reveal,2017,Migrations,,,Data Journalism,,,,,,Parameter Mapping,,n,https://goo.gl/2Yfr1R,,,,1,,,,,,
,Geolocation,Geolocation,Georgios Cherouvim,2017,Mobility,,,Art,,,,,,Parameter Mapping,,,https://vimeo.com/218106546,Geolocation,,,1,,,,,,
,BIORHYTHMS–LONDON,BIORHYTHMS – LONDON,Jon Pigren,2017,Mobility,,,Art,,,,,,Parameter Mapping,,,https://jonpigrem.wordpress.com/2017/02/26/biorhythms-london/,Biorhythms,,,1,,,,,,
,AfterglowAccess,Afterglow Access,Joshua Haislip,2017,Physical Sciences,Astronomy,,Accessibility,,,,,,Parameter Mapping,,,https://www.youtube.com/watch?v=qEz1m1IDlWE,Afterglow,,,,,,,,,
