index,Title,Author,Year,Topic_old,Topic_new,Subtopic #1,Subtopic #2,Goal_old,Goal_new,User,COVID19,Context: Online,Context: Offline,Media_Mix,Interactive,Type,Tool,Picture,Sonification_Art_Blog,Link,Link_to_Sonification_Art_Blog,Preview of the sonification on website,Thumbnail Image,Link to news,Link to explanation,Picture_name
,Sonart,"Yeo, Berger, Lee at CCRMA",2004,,n/a,,,,Research,,,,,,,Parameter Mapping,1,n,1,https://ccrma.stanford.edu/~woony/publications/Yeo_Berger_Lee-ICMC04.pdf,,,,,,
,Sonipy,David Worrall,2007,,n/a,,,,Research,,,,,,,Parameter Mapping,1,,1,http://www.sonification.com.au/sonipy/index.html,,,,,,SoniPy
,Artwonk/ Musicwonk,John Dunn,1986,,n/a,,,,Art,,,,,,,Parameter Mapping,1,n,1,https://goo.gl/hmzfm7,,,,,,
,"Solar Wind: Sounds Of Space, Stereo Spectro",David Bithell and Roberto Morales,2011,,Physical Sciences,Astronomy,,,Education,,,,,,,Parameter Mapping,1,n,1,http://cse.ssl.berkeley.edu/stereo_solarwind/sounds_programs.html,,,,,,
,Sonification Sandbox,"Psychology Department's Sonification Lab at the Georgia Institute of Technology, Bruce Walker",2002,,n/a,,,,Research,,,,,,,Parameter Mapping,1,n,1,https://goo.gl/5a0s2N,,,,,,
,PriceSquawk,PriceSquawk Audible Market Technology,2011,,Finance,,,,Data Analysis,,,,,,,Parameter Mapping,1,n,1,https://www.pricesquawk.com/,,,,,,
,audiolyzR: Give Your Data a Listen,Eric Stone and Jesse Garrison ,2012,,n/a,,,,Research,,,,,,,Parameter Mapping,1,n,1,https://rdrr.io/cran/audiolyzR/,,,,,,
,Music Algorithms,"Jonathan N. Middleton, Andrew Cobb, Michael Henry, Robert Lyon, and Ian Siemer",2005,,n/a,,,,Research,,,,,,,Parameter Mapping,1,n,1,http://www.musicalgorithms.org/3.2/#welcome,,,,,,
,Two Tone,DataVized Technology and Google News Initiative,2019,,n/a,,,,Research,,,,,,,Parameter Mapping,1,,,https://twotone.io/,,,,,,TwoTone
,DataScapr,Samuel Van Ransbeeck,2014,,Finance,,,,Data Analysis,,,,,,,Parameter Mapping,1,,,https://datascapr.wordpress.com/2014/12/19/introducing-datascapr/,,,,,,DataScapR
