Title,Author,Year,Topic,Goal,User,COVID19,Context: Online,Context: Offline,Media_Mix,Interactive,Type,Picture,Sonification_Art_Blog,Link,Link_to_Sonification_Art_Blog,Preview of the sonification on website,Thumbnail Image,Link to news,Link to explanation,Picture_name
Commute,Ludovic Riffault,2018,Transportation,Public Engagement,,,,,,,Parameter Mapping,,,https://commute.dataveyes.com/,,,,,,Commute
Reimagine The Game,The Economist,2018,Sport,Public Engagement,,,,,,,Audification,,,https://reimaginethegame.economist.com/en/intro/,,,,,,Reimagine The Game
Multivariable Data Sonification - Solar Activities,Gregorio Panerai,2018,Astronomy,Scientific Investigation,,,,,,,Parameter Mapping,,,https://vimeo.com/500802823,,,,,,Multivariable Data Sonification - Solar Activities
Astronomy Sounds of the Month,Greg Salvesen,2018,Astronomy,Public Engagement,,,,,,,Parameter Mapping,,,https://astrosom.com/archive.html,,,,,,Astronomy Sounds of the Month
56Fe (2018),Falk Morawitz,2018,Environment,Art,,,,,,,Parameter Mapping,n,,https://soundcloud.com/falk-morawitz/56fe-2018,,,,,,56Fe (2018)
The Sound and the Social - Sonification in Social Research,Joachim Allhoff,2018,Sociology,Social Research,,,,,,,Parameter Mapping,,,https://soundcloud.com/user-396789357/soundofthesocial-10,,,,,,The Sound and the Social - Sonification in Social Research
On The Extinction Of A Species,Falk Morawitz,2018,Environment,Art,,,,,,,Parameter Mapping,n,,https://soundcloud.com/falk-morawitz/extinctionshort,,,,,,On The Extinction Of A Species
Victims of US gun shooting,Sophie Chou,2017,Mass Shooting,Data Journalism,Public,,Radio Streaming,,No,No,Parameter Mapping,,,https://soundcloud.com/theworld/the-sound-of-gun-violence-in-america,,Sonification is on Soundcloud,No,,,Victims of US gun shooting
SoNSTAR,Paul Vickers,2017,Cybersecurity,Decision Making,Domain Experts,,,Security Operations Center,,,Parameter Mapping,n,,https://zenodo.org/record/1072535#.X6E4mJNKhTY,,Sonification can be downloaded from the page,No,,https://paulvickers.github.io/SoNSTAR/,SoNSTAR
The Conditional Orchestra,Rich Bultitude,2017,Metereology,Art,Public,,Website,,Yes/Graphics,No,Parameter Mapping,,,https://theconditionalorchestra.com/,,Sonification is an interactive webpage,https://theconditionalorchestra.com/,,https://medium.com/@pointbmusic/making-the-conditional-orchestra-df3149b17d23,The Conditional Orchestra
Making music from diabetes data,,2017,Health,Public Engagement,Public,,Player,,No,No,Parameter Mapping,,,https://music.apple.com/us/album/iddm-ep/1393080657,,Sonifcation is a video,No,https://www.youtube.com/watch?v=Kt1Yhb8fZj8&sns=tw,,Making music from diabetes data
Data Waltz,Hatnote,2017,Digital Media,Public Engagement,Public,,,Public Venue (interactive installation),Yes/Installation,Yes,Model Sonification,,,https://vimeo.com/208084520,,Sonifcation is a video,https://architizer.com/projects/data-waltz/,https://architizer.com/projects/data-waltz/,,Data Waltz
Climate Symphony,Jamie Perera,2017,Climate Change,Public Engagement,Public,,Player,Public Venue (live performance),Yes/Video,No,Parameter Mapping,,,https://soundcloud.com/disobedientfilms,,Sonification is on Soundcloud,No,https://www.disobedientfilms.com/climate-change-data-is-being-transformed-wired,,Climate Symphony
Las Vegas Shooting,The New York Times,2017,Mass Shooting,Data Journalism,,,,,,,Parameter Mapping,,,https://www.nytimes.com/interactive/2017/10/02/us/vegas-guns.html,,,,,,Las Vegas Shooting
TRAPPIST-1,SYSTEM Sounds,2017,Astronomy,Public Engagement,,,,,,,Parameter Mapping,,,https://www.system-sounds.com/trappist-sounds/,,,,,,TRAPPIST-1
An auditory display tool for DNA sequence analysis,Mark Temple,2017,Biology,Data Analysis,,,,,,,Parameter Mapping,,,http://dnasonification.org/,,,,,,An auditory display tool for DNA sequence analysis
Finland As Experienced By The Sea,Falk Morawitz,2017,Environment,Art,,,,,,,Parameter Mapping,n,,https://soundcloud.com/falk-morawitz/finland-as-experienced-by-the-sea,,,,,,Finland As Experienced By The Sea
The sound of a falling currency,"Neal Razzell, BBC",2017,Finance,Data Journalism,,,,,,,Parameter Mapping,,n,https://goo.gl/XXAt4t,https://goo.gl/tKU8m2,,,,,The sound of a falling currency
"An empty stream, a great silence, an impenetrable forest","Sara Lenzi, Stefano Silvestri, Giosue Grassia",2017,Environment,Art,,,,,,,Parameter Mapping,,,https://www.youtube.com/watch?v=q3nb-97PLRc,,,,,,An empty stream
Res Extensae,Sara Lenzi,2017,Environment,Public Engagement,,,,,,,Parameter Mapping,,,https://www.saralenzi.com/2017/9/13/res-extensae,,,,,,Res Extensae
While I was not there,Sara Lenzi,2017,Environment,Art,,,,,,,Parameter Mapping,,,https://www.saralenzi.com/while-i-was-not-there,,,,,,While I was not there
Sonification of the Total Solar Eclipse August 2017,Wayne Grim,2017,Astronomy,Art,,,,,,,Parameter Mapping,,,https://goo.gl/ODk4tF,,,,,,Sonification of the Total Solar Eclipse August 2017
Hearing Eugenics,Vibrant Lives,2016,Social history/Digital Humanities,Digital Humanities,Public,,Player,Public Venue (workshop),No,No,Parameter Mapping,,,https://soundstudiesblog.com/2016/07/18/hearing-eugenics/,,,No,,,Hearing Eugenics
A Sonic Memorial,Reveal News,2016,Mass Shooting,Data Journalism,Public,,Player,,No,No,Parameter Mapping,,,https://www.revealnews.org/blog/a-sonic-memorial-to-the-victims-at-orlandos-pulse-nightclub/,,Sonification is on Soundcloud,No,,,A Sonic Memorial
